#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-09 16:52:58 -04:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        06719505     00060          CLEAR CREEK AT GOLDEN, CO
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	06719505	00060	17572		1	1	2009	2009	1	73
USGS	06719505	00060	17572		1	2	2009	2009	1	64
USGS	06719505	00060	17572		1	3	2009	2009	1	51
USGS	06719505	00060	17572		1	4	2009	2009	1	43
USGS	06719505	00060	17572		1	5	2009	2009	1	29
USGS	06719505	00060	17572		1	6	2009	2009	1	29
USGS	06719505	00060	17572		1	7	2009	2009	1	56
USGS	06719505	00060	17572		1	8	2009	2009	1	68
USGS	06719505	00060	17572		1	9	2009	2009	1	56
USGS	06719505	00060	17572		1	10	2009	2009	1	42
USGS	06719505	00060	17572		1	11	2009	2009	1	36
USGS	06719505	00060	17572		1	12	2009	2009	1	45
USGS	06719505	00060	17572		1	13	2009	2009	1	44
USGS	06719505	00060	17572		1	14	2009	2009	1	46
USGS	06719505	00060	17572		1	15	2009	2009	1	44
USGS	06719505	00060	17572		1	16	2009	2009	1	42
USGS	06719505	00060	17572		1	17	2009	2009	1	42
USGS	06719505	00060	17572		1	18	2009	2009	1	40
USGS	06719505	00060	17572		1	19	2009	2009	1	40
USGS	06719505	00060	17572		1	20	2009	2009	1	39
USGS	06719505	00060	17572		1	21	2009	2009	1	43
USGS	06719505	00060	17572		1	22	2009	2009	1	47
USGS	06719505	00060	17572		1	23	2009	2009	1	46
USGS	06719505	00060	17572		1	24	2009	2009	1	43
