#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-09 16:53:00 -04:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        06719505     00060          CLEAR CREEK AT GOLDEN, CO
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	06719505	00060	17572		1	1	2015	2015	1	52
USGS	06719505	00060	17572		1	2	2015	2015	1	54
USGS	06719505	00060	17572		1	3	2015	2015	1	53
USGS	06719505	00060	17572		1	4	2015	2015	1	55
USGS	06719505	00060	17572		1	5	2015	2015	1	57
USGS	06719505	00060	17572		1	6	2015	2015	1	56
USGS	06719505	00060	17572		1	7	2015	2015	1	57
USGS	06719505	00060	17572		1	8	2015	2015	1	53
USGS	06719505	00060	17572		1	9	2015	2015	1	51
USGS	06719505	00060	17572		1	10	2015	2015	1	52
USGS	06719505	00060	17572		1	11	2015	2015	1	51
USGS	06719505	00060	17572		1	12	2015	2015	1	49
USGS	06719505	00060	17572		1	13	2015	2015	1	49
USGS	06719505	00060	17572		1	14	2015	2015	1	48
USGS	06719505	00060	17572		1	15	2015	2015	1	50
USGS	06719505	00060	17572		1	16	2015	2015	1	54
USGS	06719505	00060	17572		1	17	2015	2015	1	53
USGS	06719505	00060	17572		1	18	2015	2015	1	52
USGS	06719505	00060	17572		1	19	2015	2015	1	52
USGS	06719505	00060	17572		1	20	2015	2015	1	53
USGS	06719505	00060	17572		1	21	2015	2015	1	52
USGS	06719505	00060	17572		1	22	2015	2015	1	41
USGS	06719505	00060	17572		1	23	2015	2015	1	40
USGS	06719505	00060	17572		1	24	2015	2015	1	49
USGS	06719505	00060	17572		1	25	2015	2015	1	48
USGS	06719505	00060	17572		1	26	2015	2015	1	47
USGS	06719505	00060	17572		1	27	2015	2015	1	48
USGS	06719505	00060	17572		1	28	2015	2015	1	49
USGS	06719505	00060	17572		1	29	2015	2015	1	51
USGS	06719505	00060	17572		1	30	2015	2015	1	50
USGS	06719505	00060	17572		1	31	2015	2015	1	50
USGS	06719505	00060	17572		2	1	2015	2015	1	49
USGS	06719505	00060	17572		2	2	2015	2015	1	46
USGS	06719505	00060	17572		2	3	2015	2015	1	47
USGS	06719505	00060	17572		2	4	2015	2015	1	51
USGS	06719505	00060	17572		2	5	2015	2015	1	51
USGS	06719505	00060	17572		2	6	2015	2015	1	51
USGS	06719505	00060	17572		2	7	2015	2015	1	52
USGS	06719505	00060	17572		2	8	2015	2015	1	53
USGS	06719505	00060	17572		2	9	2015	2015	1	51
USGS	06719505	00060	17572		2	10	2015	2015	1	52
USGS	06719505	00060	17572		2	11	2015	2015	1	54
USGS	06719505	00060	17572		2	12	2015	2015	1	52
USGS	06719505	00060	17572		2	13	2015	2015	1	54
USGS	06719505	00060	17572		2	14	2015	2015	1	53
USGS	06719505	00060	17572		2	15	2015	2015	1	54
USGS	06719505	00060	17572		2	16	2015	2015	1	53
USGS	06719505	00060	17572		2	17	2015	2015	1	49
