#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-13 19:39:07 -04:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        06752260     00060          CACHE LA POUDRE RIVER AT FORT COLLINS, CO
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	06752260	00060	17702		1	1	2019	2019	1	15
USGS	06752260	00060	17702		1	2	2019	2019	1	14
USGS	06752260	00060	17702		1	3	2019	2019	1	13
USGS	06752260	00060	17702		1	4	2019	2019	1	7.7
USGS	06752260	00060	17702		1	5	2019	2019	1	7.4
USGS	06752260	00060	17702		1	6	2019	2019	1	14
USGS	06752260	00060	17702		1	7	2019	2019	1	14
USGS	06752260	00060	17702		1	8	2019	2019	1	7.9
USGS	06752260	00060	17702		1	9	2019	2019	1	16
USGS	06752260	00060	17702		1	10	2019	2019	1	9.2
USGS	06752260	00060	17702		1	11	2019	2019	1	14
USGS	06752260	00060	17702		1	12	2019	2019	1	9.5
USGS	06752260	00060	17702		1	13	2019	2019	1	9.1
USGS	06752260	00060	17702		1	14	2019	2019	1	9.3
USGS	06752260	00060	17702		1	15	2019	2019	1	15
USGS	06752260	00060	17702		1	16	2019	2019	1	11
USGS	06752260	00060	17702		1	17	2019	2019	1	14
USGS	06752260	00060	17702		1	18	2019	2019	1	17
USGS	06752260	00060	17702		1	19	2019	2019	1	16
USGS	06752260	00060	17702		1	20	2019	2019	1	16
USGS	06752260	00060	17702		1	21	2019	2019	1	16
USGS	06752260	00060	17702		1	22	2019	2019	1	8.3
USGS	06752260	00060	17702		1	23	2019	2019	1	9.9
USGS	06752260	00060	17702		1	24	2019	2019	1	12
USGS	06752260	00060	17702		1	25	2019	2019	1	18
USGS	06752260	00060	17702		1	26	2019	2019	1	17
USGS	06752260	00060	17702		1	27	2019	2019	1	14
USGS	06752260	00060	17702		1	28	2019	2019	1	9.3
USGS	06752260	00060	17702		1	29	2019	2019	1	9.6
USGS	06752260	00060	17702		1	30	2019	2019	1	14
USGS	06752260	00060	17702		1	31	2019	2019	1	13
USGS	06752260	00060	17702		2	1	2019	2019	1	17
USGS	06752260	00060	17702		2	2	2019	2019	1	32
USGS	06752260	00060	17702		2	3	2019	2019	1	32
USGS	06752260	00060	17702		2	4	2019	2019	1	33
USGS	06752260	00060	17702		2	5	2019	2019	1	30
USGS	06752260	00060	17702		2	6	2019	2019	1	28
USGS	06752260	00060	17702		2	7	2019	2019	1	32
USGS	06752260	00060	17702		2	8	2019	2019	1	34
USGS	06752260	00060	17702		2	9	2019	2019	1	30
USGS	06752260	00060	17702		2	10	2019	2019	1	26
USGS	06752260	00060	17702		2	11	2019	2019	1	34
USGS	06752260	00060	17702		2	12	2019	2019	1	39
USGS	06752260	00060	17702		2	13	2019	2019	1	25
USGS	06752260	00060	17702		2	14	2019	2019	1	30
USGS	06752260	00060	17702		2	15	2019	2019	1	30
USGS	06752260	00060	17702		2	16	2019	2019	1	32
USGS	06752260	00060	17702		2	17	2019	2019	1	26
USGS	06752260	00060	17702		2	18	2019	2019	1	30
USGS	06752260	00060	17702		2	19	2019	2019	1	33
USGS	06752260	00060	17702		2	20	2019	2019	1	33
USGS	06752260	00060	17702		2	21	2019	2019	1	29
USGS	06752260	00060	17702		2	22	2019	2019	1	23
USGS	06752260	00060	17702		2	23	2019	2019	1	21
USGS	06752260	00060	17702		2	24	2019	2019	1	26
USGS	06752260	00060	17702		2	25	2019	2019	1	25
USGS	06752260	00060	17702		2	26	2019	2019	1	26
USGS	06752260	00060	17702		2	27	2019	2019	1	28
USGS	06752260	00060	17702		2	28	2019	2019	1	28
USGS	06752260	00060	17702		3	1	2019	2019	1	31
USGS	06752260	00060	17702		3	2	2019	2019	1	35
USGS	06752260	00060	17702		3	3	2019	2019	1	34
USGS	06752260	00060	17702		3	4	2019	2019	1	38
USGS	06752260	00060	17702		3	5	2019	2019	1	34
USGS	06752260	00060	17702		3	6	2019	2019	1	31
USGS	06752260	00060	17702		3	7	2019	2019	1	34
USGS	06752260	00060	17702		3	8	2019	2019	1	34
USGS	06752260	00060	17702		3	9	2019	2019	1	34
