#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-09 16:54:11 -04:00	(natwebvaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        09085000     00060          ROARING FORK RIVER AT GLENWOOD SPRINGS, CO.
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	09085000	00060	18719		1	1	2009	2009	1	546
USGS	09085000	00060	18719		1	2	2009	2009	1	496
USGS	09085000	00060	18719		1	3	2009	2009	1	500
USGS	09085000	00060	18719		1	4	2009	2009	1	474
USGS	09085000	00060	18719		1	5	2009	2009	1	439
USGS	09085000	00060	18719		1	6	2009	2009	1	548
USGS	09085000	00060	18719		1	7	2009	2009	1	531
USGS	09085000	00060	18719		1	8	2009	2009	1	486
USGS	09085000	00060	18719		1	9	2009	2009	1	479
USGS	09085000	00060	18719		1	10	2009	2009	1	460
USGS	09085000	00060	18719		1	11	2009	2009	1	477
USGS	09085000	00060	18719		1	12	2009	2009	1	465
USGS	09085000	00060	18719		1	13	2009	2009	1	458
USGS	09085000	00060	18719		1	14	2009	2009	1	447
USGS	09085000	00060	18719		1	15	2009	2009	1	452
USGS	09085000	00060	18719		1	16	2009	2009	1	437
USGS	09085000	00060	18719		1	17	2009	2009	1	442
USGS	09085000	00060	18719		1	18	2009	2009	1	445
USGS	09085000	00060	18719		1	19	2009	2009	1	460
USGS	09085000	00060	18719		1	20	2009	2009	1	463
