#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-13 19:40:06 -04:00	(natwebcaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        09060799     00010          COLORADO RIVER AT CATAMOUNT BRIDGE, CO
# USGS        09060799     00020          COLORADO RIVER AT CATAMOUNT BRIDGE, CO
# USGS        09060799     00060          COLORADO RIVER AT CATAMOUNT BRIDGE, CO
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00010         Temperature, water, degrees Celsius
# 00020         Temperature, air, degrees Celsius
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	09060799	00010	165227		3	15	2020	2020	1	3.0
USGS	09060799	00010	165227		3	16	2020	2020	1	4.5
USGS	09060799	00010	165227		3	17	2020	2020	1	5.1
USGS	09060799	00010	165227		3	18	2020	2020	1	4.9
USGS	09060799	00010	165227		3	19	2020	2020	1	4.3
USGS	09060799	00010	165227		3	20	2020	2020	1	4.2
USGS	09060799	00010	165227		3	21	2020	2020	1	4.7
USGS	09060799	00010	165227		3	22	2020	2020	1	4.8
USGS	09060799	00010	165227		3	23	2020	2020	1	4.4
USGS	09060799	00010	165227		3	24	2020	2020	1	5.6
USGS	09060799	00010	165227		3	25	2020	2020	1	6.1
USGS	09060799	00010	165227		3	26	2020	2020	1	6.6
USGS	09060799	00010	165227		3	27	2020	2020	1	5.6
USGS	09060799	00010	165227		3	28	2020	2020	1	4.4
USGS	09060799	00010	165227		3	29	2020	2020	1	4.2
USGS	09060799	00010	165227		3	30	2020	2020	1	5.2
USGS	09060799	00010	165227		3	31	2020	2020	1	6.9
USGS	09060799	00010	165227		4	1	2020	2020	1	7.6
USGS	09060799	00010	165227		4	2	2020	2020	1	5.9
USGS	09060799	00010	165227		4	3	2020	2020	1	5.4
USGS	09060799	00010	165227		4	4	2020	2020	1	6.2
USGS	09060799	00010	165227		4	5	2020	2020	1	7.4
USGS	09060799	00010	165227		4	6	2020	2020	1	7.7
USGS	09060799	00010	165227		4	7	2020	2020	1	8.2
USGS	09060799	00010	165227		4	8	2020	2020	1	8.6
USGS	09060799	00010	165227		4	9	2020	2020	1	9.2
USGS	09060799	00010	165227		4	10	2020	2020	1	9.5
USGS	09060799	00010	165227		4	11	2020	2020	1	8.7
USGS	09060799	00010	165227		4	12	2020	2020	1	7.3
USGS	09060799	00010	165227		4	13	2020	2020	1	5.1
USGS	09060799	00010	165227		4	14	2020	2020	1	4.2
USGS	09060799	00010	165227		4	15	2020	2020	1	4.2
USGS	09060799	00010	165227		4	16	2020	2020	1	4.2
USGS	09060799	00010	165227		4	17	2020	2020	1	4.9
USGS	09060799	00010	165227		4	18	2020	2020	1	6.0
USGS	09060799	00010	165227		4	19	2020	2020	1	7.5
USGS	09060799	00010	165227		4	20	2020	2020	1	8.7
USGS	09060799	00010	165227		4	21	2020	2020	1	8.9
USGS	09060799	00010	165227		4	22	2020	2020	1	9.7
USGS	09060799	00010	165227		4	23	2020	2020	1	9.1
USGS	09060799	00010	165227		4	24	2020	2020	1	8.7
USGS	09060799	00010	165227		4	25	2020	2020	1	9.5
USGS	09060799	00010	165227		4	26	2020	2020	1	9.3
USGS	09060799	00010	165227		4	27	2020	2020	1	9.5
USGS	09060799	00010	165227		4	28	2020	2020	1	10.9
USGS	09060799	00010	165227		4	29	2020	2020	1	11.0
USGS	09060799	00010	165227		4	30	2020	2020	1	10.9
USGS	09060799	00010	165227		5	1	2020	2020	1	11.2
USGS	09060799	00010	165227		5	2	2020	2020	1	10.6
USGS	09060799	00010	165227		5	3	2020	2020	1	10.4
USGS	09060799	00010	165227		5	4	2020	2020	1	10.3
USGS	09060799	00010	165227		5	5	2020	2020	1	9.4
USGS	09060799	00010	165227		5	6	2020	2020	1	9.4
USGS	09060799	00010	165227		5	7	2020	2020	1	9.7
USGS	09060799	00010	165227		5	8	2020	2020	1	9.4
USGS	09060799	00010	165227		5	9	2020	2020	1	10.1
USGS	09060799	00010	165227		5	10	2020	2020	1	10.1
USGS	09060799	00010	165227		5	11	2020	2020	1	9.7
USGS	09060799	00010	165227		5	12	2020	2020	1	9.6
USGS	09060799	00010	165227		5	13	2020	2020	1	10.1
USGS	09060799	00010	165227		5	14	2020	2020	1	10.0
USGS	09060799	00010	165227		5	15	2020	2020	1	9.8
USGS	09060799	00010	165227		5	16	2020	2020	1	10.3
USGS	09060799	00010	165227		5	17	2020	2020	1	11.4
USGS	09060799	00010	165227		5	18	2020	2020	1	12.2
USGS	09060799	00010	165227		5	19	2020	2020	1	12.1
USGS	09060799	00010	165227		5	20	2020	2020	1	11.9
USGS	09060799	00010	165227		5	21	2020	2020	1	11.2
USGS	09060799	00010	165227		5	22	2020	2020	1	11.4
USGS	09060799	00010	165227		5	23	2020	2020	1	11.6
USGS	09060799	00010	165227		5	24	2020	2020	1	10.5
USGS	09060799	00010	165227		5	25	2020	2020	1	9.4
USGS	09060799	00010	165227		5	26	2020	2020	1	10.7
USGS	09060799	00010	165227		5	27	2020	2020	1	12.4
