#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-13 19:38:56 -04:00	(natwebsdas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        06730200     00060          BOULDER CREEK AT NORTH 75TH ST. NEAR BOULDER, CO
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	06730200	00060	17663		1	1	2020	2020	1	22
USGS	06730200	00060	17663		1	2	2020	2020	1	20
USGS	06730200	00060	17663		1	3	2020	2020	1	18
USGS	06730200	00060	17663		1	4	2020	2020	1	18
USGS	06730200	00060	17663		1	5	2020	2020	1	18
USGS	06730200	00060	17663		1	6	2020	2020	1	18
USGS	06730200	00060	17663		1	7	2020	2020	1	17
USGS	06730200	00060	17663		1	8	2020	2020	1	18
USGS	06730200	00060	17663		1	9	2020	2020	1	17
USGS	06730200	00060	17663		1	10	2020	2020	1	16
USGS	06730200	00060	17663		1	11	2020	2020	1	14
USGS	06730200	00060	17663		1	12	2020	2020	1	15
USGS	06730200	00060	17663		1	13	2020	2020	1	15
USGS	06730200	00060	17663		1	14	2020	2020	1	16
USGS	06730200	00060	17663		1	15	2020	2020	1	17
USGS	06730200	00060	17663		1	16	2020	2020	1	15
USGS	06730200	00060	17663		1	17	2020	2020	1	16
USGS	06730200	00060	17663		1	18	2020	2020	1	15
USGS	06730200	00060	17663		1	19	2020	2020	1	16
USGS	06730200	00060	17663		1	20	2020	2020	1	17
USGS	06730200	00060	17663		1	21	2020	2020	1	19
USGS	06730200	00060	17663		1	22	2020	2020	1	19
USGS	06730200	00060	17663		1	23	2020	2020	1	19
USGS	06730200	00060	17663		1	24	2020	2020	1	18
USGS	06730200	00060	17663		1	25	2020	2020	1	19
USGS	06730200	00060	17663		1	26	2020	2020	1	18
USGS	06730200	00060	17663		1	27	2020	2020	1	18
USGS	06730200	00060	17663		1	28	2020	2020	1	18
USGS	06730200	00060	17663		1	29	2020	2020	1	18
USGS	06730200	00060	17663		1	30	2020	2020	1	18
USGS	06730200	00060	17663		1	31	2020	2020	1	15
USGS	06730200	00060	17663		2	1	2020	2020	1	18
USGS	06730200	00060	17663		2	2	2020	2020	1	18
USGS	06730200	00060	17663		2	3	2020	2020	1	19
USGS	06730200	00060	17663		2	4	2020	2020	1	17
USGS	06730200	00060	17663		2	5	2020	2020	1	17
USGS	06730200	00060	17663		2	6	2020	2020	1	20
USGS	06730200	00060	17663		2	7	2020	2020	1	22
USGS	06730200	00060	17663		2	8	2020	2020	1	24
USGS	06730200	00060	17663		2	9	2020	2020	1	24
