#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-04-09 16:53:32 -04:00	(natwebvaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        09057500     00060          BLUE RIVER BELOW GREEN MOUNTAIN RESERVOIR, CO
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# mean_va     ... Mean of daily mean values for this day.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	month_nu	day_nu	begin_yr	end_yr	count_nu	mean_va
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	12s
USGS	09057500	00060	18552		1	1	2010	2010	1	141
USGS	09057500	00060	18552		1	2	2010	2010	1	141
USGS	09057500	00060	18552		1	3	2010	2010	1	141
USGS	09057500	00060	18552		1	4	2010	2010	1	137
USGS	09057500	00060	18552		1	5	2010	2010	1	140
USGS	09057500	00060	18552		1	6	2010	2010	1	139
USGS	09057500	00060	18552		1	7	2010	2010	1	137
USGS	09057500	00060	18552		1	8	2010	2010	1	133
USGS	09057500	00060	18552		1	9	2010	2010	1	133
USGS	09057500	00060	18552		1	10	2010	2010	1	132
USGS	09057500	00060	18552		1	11	2010	2010	1	131
USGS	09057500	00060	18552		1	12	2010	2010	1	152
USGS	09057500	00060	18552		1	13	2010	2010	1	166
USGS	09057500	00060	18552		1	14	2010	2010	1	174
USGS	09057500	00060	18552		1	15	2010	2010	1	174
USGS	09057500	00060	18552		1	16	2010	2010	1	173
USGS	09057500	00060	18552		1	17	2010	2010	1	174
USGS	09057500	00060	18552		1	18	2010	2010	1	168
USGS	09057500	00060	18552		1	19	2010	2010	1	169
USGS	09057500	00060	18552		1	20	2010	2010	1	171
USGS	09057500	00060	18552		1	21	2010	2010	1	170
USGS	09057500	00060	18552		1	22	2010	2010	1	169
USGS	09057500	00060	18552		1	23	2010	2010	1	169
USGS	09057500	00060	18552		1	24	2010	2010	1	169
USGS	09057500	00060	18552		1	25	2010	2010	1	170
USGS	09057500	00060	18552		1	26	2010	2010	1	166
USGS	09057500	00060	18552		1	27	2010	2010	1	167
USGS	09057500	00060	18552		1	28	2010	2010	1	165
USGS	09057500	00060	18552		1	29	2010	2010	1	165
USGS	09057500	00060	18552		1	30	2010	2010	1	164
USGS	09057500	00060	18552		1	31	2010	2010	1	166
USGS	09057500	00060	18552		2	1	2010	2010	1	164
USGS	09057500	00060	18552		2	2	2010	2010	1	164
USGS	09057500	00060	18552		2	3	2010	2010	1	165
USGS	09057500	00060	18552		2	4	2010	2010	1	148
USGS	09057500	00060	18552		2	5	2010	2010	1	127
USGS	09057500	00060	18552		2	6	2010	2010	1	125
USGS	09057500	00060	18552		2	7	2010	2010	1	126
USGS	09057500	00060	18552		2	8	2010	2010	1	127
USGS	09057500	00060	18552		2	9	2010	2010	1	126
USGS	09057500	00060	18552		2	10	2010	2010	1	130
USGS	09057500	00060	18552		2	11	2010	2010	1	131
USGS	09057500	00060	18552		2	12	2010	2010	1	129
USGS	09057500	00060	18552		2	13	2010	2010	1	127
USGS	09057500	00060	18552		2	14	2010	2010	1	125
USGS	09057500	00060	18552		2	15	2010	2010	1	126
USGS	09057500	00060	18552		2	16	2010	2010	1	124
USGS	09057500	00060	18552		2	17	2010	2010	1	124
USGS	09057500	00060	18552		2	18	2010	2010	1	125
USGS	09057500	00060	18552		2	19	2010	2010	1	140
USGS	09057500	00060	18552		2	20	2010	2010	1	150
USGS	09057500	00060	18552		2	21	2010	2010	1	149
